"Marjorie, le sport et les garçons / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"120 p. ; 20 cm";"Les baby-sitters ; 59";"Traduction de: Mallory hates boys (and gym)
Roman";"2-7625-8123-0 (br.) 2-7615-8123-0 :";"Favreau, Marie-Claude, 1959- , trad.";"Mallory hates boys (and gym)";"0000463967"
"Marjorie et le cheval de rêve / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"113 p. ; 20 cm";"Les baby-sitters ; 54";"Traduction de: Mallory and the dream horse
Roman";"2-7625-7928-7 (br.) :";"Ferron, Nicole , trad.";"Mallory and the dream horse";"0000449822"
"Sophie et les faux-monnayeurs / Ann M. Martin ; adapté de l'américain par Lucie Duchesne";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"158 p. ; 18 cm";"Les baby-sitters. Mystère ; no 10";"Traduction de: Stacey and the mystery money
Roman";"2-7625-8246-6 (br.) :";"Duchesne, Lucie , trad.";"Stacey and the mystery money";"0000463966"
"Claudia et le mystère du musée / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"142 p. ; 18 cm";"Les baby-sitters. Mystère ; no 11";"Traduction de: Claudia and the mystery at the museum
Roman
Date de cop.: 1996";"2-7625-8247-4 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Claudia and the mystery at the museum";"0000474065"
"Diane et le fantôme de la mer / Ann M. Martin ; adapté de l'américain par Lucie Duchesne";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"142 p. ; 18 cm";"Les baby-sitters. Mystère ; no 12";"Traduction de: Dawn and the surfer ghost
Roman
Date de cop.: 1996";"2-7625-8248-2 (br.) :";"Duchesne, Lucie , trad.";"Dawn and the surfer ghost";"0000474066"
"Diane et les chiens disparus / Ann M. Martin ; adapté de l'américain par Lucie Duchesne";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"156 p. ; 18 cm";"Les baby-sitters. Mystère ; no 7";"Traduction de: Dawn and the disappearing dogs
Roman";"2-7625-8139-7 (br.) :";"Duchesne, Lucie , trad.";"Dawn and the disappearing dogs";"0000458622"
"Diane veut sauver la planète / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"121 p. ; 20 cm";"Les baby-sitters ; 57";"Traduction de: Dawn saves the planet
Roman";"2-7625-8121-4 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Dawn saves the planet";"0000460729"
"Un autre poste de présidente pour Christine? / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"114 p. ; 20 cm";"Les baby-sitters ; 53";"Traduction de: Kristy for president
Roman";"2-7625-7927-9 (br.) :";"Ferron, Nicole , trad.";"Kristy for president";"0000449820"
"Les baby-sitters en Californie / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms inc.)";"219 p. ; 20 cm";"Les baby-sitters. Super spécial ; no 5";"Traduction de: California girls!
""Quatre gardiennes fondent leur club""";"2-7625-8149-4 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"California girls!";"0000451932"
"Anne-Marie et le secret du grenier / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"141 p. ; 18 cm";"Les baby-sitters. Mystère ; no 5";"Traduction de: Mary Anne and the secret in the attic
Roman";"2-7625-8107-9 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Mary Anne and the secret in the attic";"0000446220"
